id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
wattj101,Watts,Jack,R,?,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
winsb101,Winston,Bobby,L,?,CG1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19150509,19150509,1915
barbj103,Barber,Jesse,L,R,CAG,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,19160827,19160828,1916
barbj103,Barber,Jesse,L,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
bauch101,Bauchman,Harry,R,R,CAG,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
biraj101,Biran,Jack,?,?,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
brazc101,Brazelton,Clarkson,?,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
browg103,Brown,George,?,R,IN4,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,19160827,19160828,1916
charo101,Charleston,Oscar,L,L,IN4,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,19160827,19160828,1916
clarm103,Clark,Morten,L,R,IN4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19160827,19160828,1916
craws102,Crawford,Sam,R,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
daviu103,Davis,,?,?,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
demob102,DeMoss,Bingo,R,R,IN4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
dismd101,Dismukes,Dizzy,R,R,IN4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19160827,19160827,1916
dixos102,Dixon,Steven,?,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
dunba101,Dunbar,Ashby,?,?,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
duncf101,Duncan,Frank,L,R,CAG,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,19160827,19160828,1916
fostr105,Foster,Rube,R,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
franb101,Francis,Bill,R,R,CAG,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19160827,19160828,1916
gansj101,Gans,Judy,L,L,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
granl101,Grant,Leroy,R,R,CAG,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
hayeb103,Hayes,Buddy,R,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
hillp102,Hill,Pete,L,R,CAG,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,19160827,19160828,1916
jeffj102,Jeffries,Jim,L,L,IN4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19160828,19160828,1916
johnd108,Johnson,Dicta,R,R,IN4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19160828,19160828,1916
johnt105,Johnson,Tom,R,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
kennd102,Kennard,Dan,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
lloyj101,Lloyd,John Henry,L,R,CAG,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19160827,19160828,1916
malad101,Malarcher,Dave,B,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
meadc102,Meade,Chick,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
padrj101,Padron,Juan,L,L,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
petwb101,Petway,Bruce,B,R,CAG,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
power102,Powell,Russell,?,R,IN4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
scotd103,Scott,Death Valley,?,?,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
shivg101,Shively,George,L,L,IN4,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,19160827,19160828,1916
taylb108,Taylor,Ben,L,L,IN4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19160827,19160828,1916
taylc104,Taylor,C.I.,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
taylj104,Taylor,Steel Arm Johnny,R,R,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
taylj105,Taylor,Candy Jim,R,R,IN4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19160827,19160828,1916
tyrer101,Tyrees,Ruby,R,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
wattj101,Watts,Jack,R,?,IN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
whitb110,White,Burlin,?,R,CAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916
whitd107,Whitworth,Dick,R,R,CAG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19160828,19160828,1916
wickf102,Wickware,Frank,R,R,CAG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19160827,19160827,1916
